Title: A Catalog of Morphologically Identified Merging Galaxies
Authors: Hwang C.-Y., Chang M.-Y.
Table: Catalog of Merging Galaxies
================================================================================
Byte-by-byte Description of file: apjs299963t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label  Explanations
--------------------------------------------------------------------------------
   1-  5 I5     ---    ID     Running identification number
   7-  8 I2     h      RAh    Hour of Right Ascension (J2000)
  10- 11 I2     min    RAm    Minute of Right Ascension (J2000)
  13- 16 F4.1   s      RAs    Second of Right Ascension (J2000)
      18 A1     ---    DE-    Sign of the Declination (J2000)
  19- 20 I2     deg    DEd    Degree of Declination (J2000)
  22- 23 I2     arcmin DEm    Arcminute of Declination (J2000)
  25- 28 F4.1   arcsec DEs    Arcsecond of Declination (J2000)
  30- 36 A7     ---    FName  Field name
  38- 39 A2     ---    Type   Merging type (1)
--------------------------------------------------------------------------------
Note (1):
    M = mergers;
   CP = close pairs;
   CM = close multiples.
--------------------------------------------------------------------------------
00001 00 30 07.5 -02 20 00.4 RCS0047 M
00002 00 30 08.6 +02 17 36.1 RCS0047 M
00003 00 30 10.1 -03 25 14.6 RCS0047 M
00004 00 30 12.1 -00 50 33.1 RCS0047 CP
00005 00 30 12.7 -02 36 48.7 RCS0047 M
00006 00 30 14.4 +03 01 26.2 RCS0047 M
00007 00 30 16.4 -00 50 09.0 RCS0047 M
00008 00 30 16.5 +03 05 48.1 RCS0047 M
00009 00 30 17.0 -01 30 48.2 RCS0047 M
00010 00 30 17.4 -01 09 10.3 RCS0047 M
00011 00 30 19.8 +02 23 56.6 RCS0047 M
00012 00 30 20.3 -01 07 39.0 RCS0047 M
00013 00 30 20.7 +02 14 43.6 RCS0047 M
00014 00 30 21.6 -01 21 19.3 RCS0047 M
00015 00 30 21.8 -03 30 46.2 RCS0047 M
00016 00 30 24.1 -02 24 49.3 RCS0047 CP
00017 00 30 26.6 -01 20 58.8 RCS0047 M
00018 00 30 28.1 -01 15 34.9 RCS0047 CP
00019 00 30 28.8 -02 31 12.3 RCS0047 M
00020 00 30 29.4 -00 55 19.0 RCS0047 M
00021 00 30 30.3 -00 54 00.8 RCS0047 M
00022 00 30 32.4 -00 50 53.7 RCS0047 CP
00023 00 30 32.7 +02 41 28.1 RCS0047 M
