#Table1
specobjid,ra,dec,plate,mjd,fiberid
7926588067262996480,10.807323,-3.9946159,7040,56574,919
7071899191404896256,6.25430849999998,24.129725,6281,56295,443
4106369532750176256,37.279788,0.73148979,3647,55476,773
4749210275973931008,2.673272,0.717445,4218,55479,598
8033562577018527744,2.8937158,29.068387,7135,56564,970
4856150157622747136,19.161359,4.6485382,4313,55857,523
6419916282682908672,14.424598,17.940253,5702,56221,127
6953600535829127168,2.04963930000002,12.383392,6176,56264,155
4916920710163570688,5.4013473,-2.75611,4367,55566,421
6360461835494203392,2.4104423,12.869828,5649,55912,921
4042147328835952640,11.33373,0.55651717,3590,55201,606
4206485559621689344,16.163185,-1.0452654,3736,55214,449
753383486139688960,2.3606298,1.2095028,669,52559,569
8031170314644725760,2.29217829999999,29.441532,7133,56567,459
5778167623343644672,17.702334,16.107368,5132,55858,179
4205444596904206336,16.000108,1.1281634,3735,55209,758
4205502046386757632,16.964356,0.70092534,3735,55209,967
9408222873607184384,37.031678,-4.7255878,8356,56989,739
4070200565916737536,37.100647,-0.48131151,3615,56544,263
5125220444601819136,20.79857,9.2169913,4552,55884,451
4106376148140662784,37.279788,0.73148979,3647,56568,797
6952560947601842176,3.47207309999999,20.948835,6175,56265,469
4106370101296472064,37.215538,-0.0031549832,3647,56596,775
5129726243722207232,19.9569,7.1683219,4556,55912,459
5128697105485897728,19.714473,10.842605,4555,56189,811
4042233365620826112,12.96079,0.90176525,3590,55201,919
4802229551735218176,37.26718,2.897749,4265,55505,969
5251228880358842368,18.321243,13.205664,4664,56192,115
7633675970650546176,37.042821,-0.388291,6780,56577,271
4106368982994362368,37.174823,0.83441698,3647,55476,771
471787825495304192,11.37146,13.65242,419,51812,130
439225788705826816,5.2221571,0.63686113,390,51816,454
8867604001564106752,20.110003,-0.66757678,7876,57002,59
4756961007913377792,15.821292,-0.97017885,4225,55455,123
4106230456994734080,37.100647,-0.48131153,3647,56219,267
4973236050883223552,4.54295259999998,5.4085927,4417,55829,495
6985219190970884096,11.40287,16.618724,6204,56220,495
4758211977603424256,15.90875,0.57396561,4226,55475,578
6359123730027749376,3.34917689999997,10.620883,5648,55923,149
4070201110219956224,37.100647,-0.48131151,3615,56219,265
6416633136466075648,16.753655,24.534606,5699,55953,471
7064033289497976832,5.72743400000002,28.854534,6274,56550,499
7171126266212360192,37.149644,-3.9435717,6369,56217,981
8071715631576096768,1.95896470000002,-9.1902631,7169,56628,506
5255864696578220032,19.061124,13.625058,4668,56211,596
4070202192769818624,37.215538,-0.0031549832,3615,55208,269
5128627286497533952,18.087151,9.8536694,4555,56189,557
7930974019431407616,15.233443,-5.1365367,7044,56591,491
9895554745652715520,18.821329,-0.16687731,8789,57358,74
4760481369754148864,19.93874,0.32123062,4228,55484,642
4747955733189861376,2.1840105,-1.0448347,4217,55478,130
9896807089480638464,18.70915,0.098349799,8790,57363,534
4106231562361610240,37.100647,-0.48131153,3647,56568,271
4106239253087756288,37.001454,-0.80329118,3647,56219,299
7047130497495834624,16.583139,27.846332,6259,56565,447
6409890936080277504,18.536795,25.048435,5693,56246,519
4838244609908776960,2.8972933,4.7977336,4297,55806,919
4754916465974419456,12.500943,0.68402922,4223,55451,877
4840290801400389632,5.06893400000001,2.7884652,4299,55827,171
5256954031348097024,19.590766,11.104233,4669,55831,463
4106370650582523904,37.215538,-0.0031549832,3647,56568,777
4915679910788308992,5.62867160000002,-2.6855153,4366,55536,3
4106375860830838784,37.279788,0.73148979,3647,55827,796
8866715320921858048,19.059867,-1.3770066,7875,56980,922
4206373409435656192,18.006263,-0.99320773,3736,55214,41
6985297806052270080,12.605732,18.192752,6204,56220,781
8026702724056719360,3.16989169999999,33.802289,7129,56569,590
4070205491304701952,36.872518,-0.86743491,3615,55208,281
4106376129819942912,37.215538,-0.0031549832,3647,55476,797
1219396645511260160,14.557325,-0.28170282,1083,52520,171
4106237316476936192,36.918065,-1.0993586,3647,55476,292
4042252607074312192,13.320058,0.092023637,3590,55201,989
4205397592782118912,15.315332,0.81335207,3735,55209,587
7746193392996950016,3.80538430000001,24.110051,6880,56543,7
6953606033387266048,1.94194340000001,11.609391,6176,56264,175
4841452430418747392,5.06726980000002,0.68320002,4300,55528,301
4106238159431376896,37.001454,-0.80329118,3647,56568,295
4757118512954056704,15.000939,0.24009275,4225,55455,696
4916960292582170624,5.48062160000001,-1.8114699,4367,55566,565
6416772774442803200,18.991619,24.950027,5699,55953,979
9895566840280621056,18.626011,0.072483,8789,57358,118
4106237060389511168,36.872518,-0.86743488,3647,56596,291
4070204391306534912,37.215538,-0.0031549832,3615,55179,277
4106371194483089408,37.215538,-0.0031549832,3647,56219,779
4041105266439069696,11.690739,0.76641197,3589,55186,911
4039988712347508736,11.078837,0.96401305,3588,55184,945
6956075535647612928,3.93395479999998,17.267257,6178,56213,967
4756046489553182720,14.139026,0.086174938,4224,55481,892
4106371187906420736,37.215538,-0.0031549832,3647,55827,779
7172057003157594112,37.042821,-0.388291,6370,56238,271
4106229913563930624,37.100647,-0.48131153,3647,56596,265
753371940730726400,2.2346588,1.0592399,669,52527,527
5764792614768320512,15.873902,23.413958,5120,55895,673
4106371177068339200,37.215538,-0.0031549832,3647,55181,779
9149064958729756672,37.042915,-5.2456441,8126,56956,8
5777256677574156288,17.815809,15.761163,5131,55835,961
5779407872493330432,17.949229,20.218716,5133,55860,595
4922602710958579712,14.424891,-1.83116,4372,55541,612
5251411124310482944,17.847498,13.545749,4664,56186,778
4106375585952931840,37.174823,0.83441698,3647,55827,795
439190880620931072,4.7186254,1.132922,390,51900,327
471785352533665792,11.37146,13.65242,419,51868,121
753370841219098624,2.1268145,1.0590453,669,52527,523
6419886046113144832,15.217587,18.345777,5702,56221,17
6958099188274929664,6.43598600000001,19.143353,6180,56301,137
4070210443083227136,37.001454,-0.80329114,3615,55445,299
1218229513968707584,17.623523,-0.42146105,1082,52523,21
4973118678016958464,6.63368930000001,5.3506616,4417,55829,68
