name             ,ra         ,dec        ,bmag ,rmag 
14A1             ,12h37m12.33s,+01d23m1.4s,19.42,19.27
14A2             ,12h37m13.21s,+01d22m50.3s,19.17,19.04
1AXG J121359+1404,12h13m56.20s,+14d04m31.3s,17.85,17.12
1AXG J122017+0641,12h20m18.44s,+06d41m19.6s,21.72,18.74
1AXG J123605+2613,12h36m03.06s,+26d13m06.1s,20.47,19.85
1AXG J130453+3548,13h04m48.30s,+35d48m45.7s,21.04,19.04
1AXG J134741-1122,13h47m41.81s,-11d22m16.2s,18.49,17.22
1AXG J141240-1209,14h12m39.25s,-12d09m09.0s,18.39,17.19
1AXG J141426-1209,14h14m25.99s,-12d08m39.7s,19.52,18.73
1AXG J142353+2247,14h23m52.46s,+22d47m45.5s,19.2,17.14
