name             ,ra         ,dec        ,bmag ,rmag 
084_4515         ,14 17 40.40,+52 27 19.0,24.27,23.18
084_6809         ,14 17 42.73,+52 27 30.0,23.19,22.5
1.4418.1930      ,05 07 36.60,-68 47 51.0,     ,19.8
13.5717.178      ,05 15 36.15,-70 54 01.1,18.48,17.59
13.6805.324      ,05 22 47.20,-71 01 30.0,     ,18.7
13.6808.521      ,05 22 47.66,-70 47 34.9,18.79,20.49
133_2106         ,14 17 03.02,+52 21 48.0,21.9,     
14A1             ,12 37 12.33,+01 23 01.4,19.42,19.27
14A2             ,12 37 13.21,+01 22 50.3,19.17,19.04
152_6235         ,14 16 43.53,+52 19 30.0,     ,24.2
154_3015         ,14 16 53.20,+52 19 07.0,23.1,22.5
1615.1+1713      ,16 17 18.25,+17 05 29.2,20.8,19.14
16V13            ,08 44 50.60,+44 35 55.0,     ,22.2
17.2227.488      ,04 53 56.60,-69 40 36.0,     ,18.9
17.3197.1182     ,05 00 17.41,-69 32 15.8,     ,20.07
193_5426         ,14 16 25.40,+52 15 26.0,23.23,22.19
1AXG J000605+2031,00 05 59.40,+20 31 24.8,16.6,16.55
1AXG J000927-0438,00 09 24.60,-04 38 30.3,18.26,17.87
1AXG J002619+1050,00 26 18.69,+10 50 19.2,18.18,17.52
1AXG J010952-1252,01 09 50.91,-12 53 21.8,21.3,19.65
1AXG J033516-1505,03 35 18.19,-15 06 16.0,21.11,17.24
1AXG J035008-1149,03 50 05.38,-11 49 27.1,21.29,21.08
1AXG J035137-1204,03 51 35.63,-12 04 09.0,19.29,17.95
1AXG J041757+0101,04 17 59.16,+01 00 46.4,17.82,16.39
1AXG J044749-0629,04 47 48.61,-06 28 13.0,18.56,17.37
1AXG J090053+3856,09 00 53.76,+38 56 15.7,19.99,17.54
1AXG J102337+1936,10 23 37.53,+19 36 25.8,19.12,18.29
1AXG J103934+5330,10 39 35.76,+53 30 38.7,18.7,18.03
1AXG J104026+2046,10 40 26.84,+20 45 44.3,20.56,19.43
1AXG J121359+1404,12 13 56.20,+14 04 31.3,17.85,17.12
1AXG J122017+0641,12 20 18.44,+06 41 19.6,21.72,18.74
1AXG J123605+2613,12 36 03.06,+26 13 06.1,20.47,19.85
1AXG J130453+3548,13 04 48.30,+35 48 45.7,21.04,19.04
1AXG J133937+2730,13 39 39.14,+27 30 27.1,20.74,19.68
1AXG J134412+0016,13 44 14.15,+00 16 42.3,21.42,19.48
1AXG J134741-1122,13 47 41.81,-11 22 16.2,18.49,17.22
1AXG J140532+5055,14 05 27.68,+50 55 46.6,17.64,10.17
1AXG J141240-1209,14 12 39.25,-12 09 09.0,18.39,17.19
1AXG J141426-1209,14 14 25.99,-12 08 39.7,19.52,18.73
1AXG J142353+2247,14 23 52.46,+22 47 45.5,19.2,17.14
1AXG J142651+2619,14 26 52.67,+26 19 24.9,20.3,18.01
1AXG J144301+5208,14 42 58.62,+52 09 02.0,19.76,17.35
1AXG J150430+4741,15 04 31.30,+47 41 51.3,19.72,19.08
1AXG J151524+3639,15 15 25.22,+36 40 16.5,20.59,17.94
1AXG J155810+6401,15 58 10.43,+64 01 32.7,20.54,19.22
1AXG J160118+0844,16 01 18.29,+08 43 55.2,     ,19.8
1AXG J163538+3809,16 35 39.56,+38 10 03.0,19.65,17.73
1AXG J170305+4526,17 03 06.47,+45 25 57.2,17.28,16.96
1AXG J170730+2353,17 07 32.09,+23 53 42.2,20.71,19.76
1AXG J171811+6727,17 18 06.03,+67 27 00.9,18.4,18.22
