#Table1,,,,,
specobjid,ra,dec,plate,mjd,fiberid
7.92659E+18,10.807323,-3.9946159,7040,56574,919
7.0719E+18,6.2543085,24.129725,6281,56295,443
4.10637E+18,37.279788,0.73148979,3647,55476,773
4.74921E+18,2.673272,0.717445,4218,55479,598
8.03356E+18,2.8937158,29.068387,7135,56564,970
4.85615E+18,19.161359,4.6485382,4313,55857,523
6.41992E+18,14.424598,17.940253,5702,56221,127
6.9536E+18,2.0496393,12.383392,6176,56264,155
4.91692E+18,5.4013473,-2.75611,4367,55566,421
6.36046E+18,2.4104423,12.869828,5649,55912,921
4.04215E+18,11.33373,0.55651717,3590,55201,606
4.20649E+18,16.163185,-1.0452654,3736,55214,449
7.53383E+17,2.3606298,1.2095028,669,52559,569
8.03117E+18,2.2921783,29.441532,7133,56567,459
5.77817E+18,17.702334,16.107368,5132,55858,179
4.20544E+18,16.000108,1.1281634,3735,55209,758
4.2055E+18,16.964356,0.70092534,3735,55209,967
9.40822E+18,37.031678,-4.7255878,8356,56989,739
4.0702E+18,37.100647,-0.48131151,3615,56544,263
5.12522E+18,20.79857,9.2169913,4552,55884,451
4.10638E+18,37.279788,0.73148979,3647,56568,797
6.95256E+18,3.4720731,20.948835,6175,56265,469
4.10637E+18,37.215538,-0.003154983,3647,56596,775
5.12973E+18,19.9569,7.1683219,4556,55912,459
5.1287E+18,19.714473,10.842605,4555,56189,811
4.04223E+18,12.96079,0.90176525,3590,55201,919
4.80223E+18,37.26718,2.897749,4265,55505,969
5.25123E+18,18.321243,13.205664,4664,56192,115
7.63368E+18,37.042821,-0.388291,6780,56577,271
4.10637E+18,37.174823,0.83441698,3647,55476,771
4.71788E+17,11.37146,13.65242,419,51812,130
4.39226E+17,5.2221571,0.63686113,390,51816,454
8.8676E+18,20.110003,-0.66757678,7876,57002,59
4.75696E+18,15.821292,-0.97017885,4225,55455,123
4.10623E+18,37.100647,-0.48131153,3647,56219,267
4.97324E+18,4.5429526,5.4085927,4417,55829,495
6.98522E+18,11.40287,16.618724,6204,56220,495
4.75821E+18,15.90875,0.57396561,4226,55475,578
6.35912E+18,3.3491769,10.620883,5648,55923,149
4.0702E+18,37.100647,-0.48131151,3615,56219,265
6.41663E+18,16.753655,24.534606,5699,55953,471
7.06403E+18,5.727434,28.854534,6274,56550,499
7.17113E+18,37.149644,-3.9435717,6369,56217,981
8.07172E+18,1.9589647,-9.1902631,7169,56628,506
5.25586E+18,19.061124,13.625058,4668,56211,596
4.0702E+18,37.215538,-0.003154983,3615,55208,269
5.12863E+18,18.087151,9.8536694,4555,56189,557
7.93097E+18,15.233443,-5.1365367,7044,56591,491
9.89555E+18,18.821329,-0.16687731,8789,57358,74
4.76048E+18,19.93874,0.32123062,4228,55484,642
4.74796E+18,2.1840105,-1.0448347,4217,55478,130
9.89681E+18,18.70915,0.098349799,8790,57363,534
4.10623E+18,37.100647,-0.48131153,3647,56568,271
4.10624E+18,37.001454,-0.80329118,3647,56219,299
