Identifier,RA,DEC
* 33 Psc,00 05 20.14193,-05 42 27.4279
HD 38A,00 05 41.0218876465,+45 48 43.545210886
V* BD Cet,00 22 46.3323591861,-09 13 51.074156366
V* FF And,00 42 48.2494872638,+35 32 55.658040363
V* CF Tuc,00 53 07.7682099536,-74 39 05.609032263
* 39 Cet,01 16 36.2882494986,-02 30 01.329588503
V* BC Phe,01 22 18.9827803159,-56 43 53.212442701
HD 8357,01 22 56.7570,+07 25 09.336
V* XX Tri,02 03 47.1138016857,+35 35 28.669244792
V* BQ Hyi,02 18 00.83734,-71 28 02.7459
V* UX For,02 43 25.5661088351,-37 55 42.027954989
V* VY Ari,02 48 43.7264,+31 06 54.704
V* EL Eri,03 10 38.5120762866,-05 23 38.020558422
V* V510 Per,03 13 51.2297252171,+43 51 46.803837868
V* UX Ari,03 26 35.3764089427,+28 42 54.211100955
HD 22403,03 37 11.0382533361,+25 59 27.954584097
V* V471 Tau,03 50 24.9664598642,+17 14 47.433240686
V* AG Dor,04 07 29.1816721659,-52 34 17.293643629
HD 284163,04 11 56.22175,+23 38 10.7616
V* V1232 Tau,04 18 01.8357137890,+18 15 24.511265362
V* V918 Tau,04 28 37.2159666702,+19 44 26.482689542
HD 283750,04 36 48.2413370074,+27 07 55.898311812
V* RZ Eri,04 43 45.8303098729,-10 40 56.020152460
4U 0443-09,04 55 57,-09 58.5
V* V1198 Ori,04 58 16.9768687912,+00 27 13.975499258
V* HP Aur,05 10 21.7812793878,+35 47 46.620805696
* alf Aur,05 16 41.35871,+45 59 52.7693
HD 37171,05 37 04.3809824845,+11 02 05.979699086
V* V1149 Ori,05 41 26.7879828728,+03 46 40.929159334
HD 39937,05 52 20.2031569181,-57 09 22.285229080
V* V403 Aur,05 57 04.6313716874,+49 01 46.869452581
V* TY Pic,06 07 56.9371225172,-54 26 21.332985291
V* TZ Pic,06 31 05.7282119500,-59 00 16.573966667
V* SV Cam,06 41 19.0820839974,+82 16 02.435978987
V* QY Aur,07 10 01.8338715851,+38 31 46.086394837
HD 57853,07 20 21.8611227388,-52 18 33.275366975
* alf Gem C,07 34 37.4475372002,+31 52 10.181030942
* sig Gem,07 43 18.7269793,+28 53 00.642191
* 54 Cam,08 02 35.7835065543,+57 16 25.063421482
V* RZ Cnc,08 39 08.5401530079,+31 47 44.456846108
V* WY Cnc,09 01 55.4509744645,+26 41 22.747100853
V* BF Lyn,09 22 25.9436108516,+40 12 03.806653234
V* IN Vel,09 37 12.9607533108,-42 01 14.494955478
V* FG UMa,10 21 47.4614793407,+60 54 46.209819373
V* DM UMa,10 55 43.5440100939,+60 28 09.722249634
V* EE UMa,11 30 24.8248021121,+46 39 27.114189701
V* V829 Cen,11 39 22.2370700924,-39 23 07.597273825
V* RW UMa,11 40 46.3524713336,+51 59 53.419318092
V* HU Vir,12 13 20.6903303051,-09 04 46.844857323
V* AS Dra,12 22 11.7360497539,+73 14 54.542379493
V* HZ Com,12 29 40.9243958233,+24 31 14.636714248
PN LoTr 5,12 55 33.7461986779,+25 53 30.561300806
V* UX Com,13 01 33.0178454449,+28 37 54.177676774
V* RS CVn,13 10 36.9078781154,+35 56 05.587686902
V* BL CVn,13 18 51.9423893660,+33 26 19.349712024
HD 116378,13 22 40.3847883239,+35 55 43.412934134
V* V764 Cen,13 36 08.3189073523,-33 28 44.816874991
V* BH Vir,13 58 24.8603932736,-01 39 38.953813515
V* RV Lib,14 35 48.4182983204,-18 02 11.526967024
V* SS Boo,15 13 32.5313815658,+38 34 05.557651289
V* GX Lib,15 23 26.0566279645,-06 36 37.745948264
